order_id,order_date,amount_usd,amount_inr,tax_usd,tax_inr,shipping_usd,shipping_inr,exchange_rate
ORD-001,2018-08-10,90282.91,6210832.23,9120.75,627443.75,71.6,4925.58,68.79
ORD-002,2023-10-30,51004.59,4246642.16,1427.43,118847.82,95.72,7969.65,83.26
ORD-003,2024-03-07,80411.03,6654012.73,14084.86,1165522.17,37.85,3132.09,82.75
ORD-004,2016-10-11,99172.56,6605884.22,13800.09,919223.99,98.52,6562.42,66.61
ORD-005,2018-05-08,105258.14,7062821.19,12950.81,868999.35,7.14,479.09,67.1
ORD-006,2023-09-19,32903.26,2739196.4,1920.59,159889.12,76.83,6396.1,83.25
ORD-007,2022-05-12,31854.61,2465164.56,2862.51,221523.92,88.47,6846.52,77.39
ORD-008,2022-07-22,134668.32,10757709.41,9681.59,773394.45,21.93,1751.83,79.88
ORD-009,2024-11-18,89441.18,7547046.77,6194.53,522694.44,59.59,5028.2,84.38
ORD-010,2023-08-24,112619.21,9298968.17,15580.62,1286491.79,0.0,0.0,82.57
ORD-011,2018-12-14,114282.43,8200564.33,10443.44,749389.92,10.64,763.49,71.76
ORD-012,2022-01-18,137769.95,10254079.61,14852.98,1105492.45,48.86,3636.6,74.43
ORD-013,2016-12-16,122394.29,8297598.5,21545.95,1460686.13,53.27,3611.39,67.79
ORD-014,2020-09-29,139333.47,10276958.08,18942.07,1397129.2,68.99,5088.56,73.76
ORD-015,2018-07-09,50679.74,3479975.03,0.0,0.0,23.01,1580.0,68.67
ORD-016,2025-08-22,10582.15,924668.27,453.35,39613.72,66.9,5845.72,87.38
ORD-017,2018-02-18,14494.47,929023.05,1124.61,72081.88,42.36,2715.06,64.1
ORD-018,2019-10-21,37260.88,2644889.05,1275.72,90554.43,44.86,3184.3,70.98
ORD-019,2017-02-05,97804.34,6583014.52,9516.93,640565.52,1.48,99.62,67.31
ORD-020,2016-08-28,56814.92,3810803.94,10076.44,675867.14,26.52,1778.8,67.07
ORD-021,2018-06-10,86856.0,5859218.9,0.0,0.0,74.8,5045.93,67.46
ORD-023,2023-05-16,84762.3,6970003.93,4826.92,396917.63,26.08,2144.56,82.23
ORD-024,2016-02-08,93154.95,6322053.84,9440.22,640669.97,10.0,678.66,67.87
ORD-026,2023-06-10,140836.45,11613373.67,3404.36,280723.53,11.54,951.59,82.46
ORD-028,2018-08-12,111171.7,7651169.91,11039.63,759780.46,42.77,2943.56,68.82
ORD-029,2020-10-26,6226.42,459646.78,408.69,30170.31,93.31,6888.33,73.82
ORD-030,2025-11-30,146074.25,13063420.18,19706.29,1762333.51,92.58,8279.43,89.43
ORD-031,2024-10-09,120325.38,10100112.4,18714.39,1570885.9,81.07,6805.02,83.94
ORD-032,2018-03-28,52416.25,3410830.22,0.0,0.0,87.13,5669.72,65.07
ORD-033,2024-09-02,52639.48,4415925.98,4826.67,404909.35,67.95,5700.33,83.89
ORD-034,2016-06-05,89465.52,6013424.93,5566.87,374177.17,78.64,5285.79,67.22
ORD-035,2023-12-13,203.78,16991.18,33.95,2830.75,53.85,4490.01,83.38
ORD-036,2025-07-05,107949.13,9219935.19,5835.51,498410.91,30.93,2641.73,85.41
ORD-037,2023-06-08,92308.01,7620026.23,5000.42,412784.67,54.79,4522.91,82.55
ORD-038,2021-03-19,66296.08,4808388.39,2550.16,184960.55,47.32,3432.07,72.53
ORD-039,2023-07-18,33657.33,2760574.21,1206.39,98948.11,2.44,200.13,82.02
ORD-040,2022-06-15,107737.8,8409150.77,7446.42,581207.97,39.97,3119.74,78.05
ORD-041,2017-12-21,69655.71,4462214.44,6988.77,447707.59,91.75,5877.6,64.06
ORD-042,2022-11-14,63982.45,5185137.75,10444.1,846389.86,44.59,3613.57,81.04
ORD-043,2024-08-02,72663.78,6084864.94,3129.21,262040.05,43.99,3683.72,83.74
ORD-044,2018-08-05,104077.17,7145314.03,13233.98,908565.66,6.42,440.76,68.65
ORD-045,2024-08-19,141906.61,11901707.38,498.91,41843.58,88.07,7386.43,83.87
ORD-046,2022-01-13,119970.22,8867598.81,19387.91,1433057.37,48.82,3608.53,73.92
ORD-047,2017-06-06,80095.25,5157653.53,13075.32,841972.16,59.19,3811.48,64.39
ORD-048,2020-04-01,31709.63,2400450.7,1865.55,141224.0,76.12,5762.36,75.7
ORD-049,2022-01-18,149986.17,11163320.65,9448.06,703209.66,65.01,4838.63,74.43
ORD-051,2019-06-28,86781.64,5989582.01,14509.86,1001456.03,0.0,0.0,69.02
ORD-052,2018-09-21,104563.81,7541455.67,5676.23,409386.74,68.43,4935.38,72.12
ORD-053,2020-02-26,75869.42,5441734.15,4660.02,334239.93,84.96,6093.76,71.73
ORD-054,2017-12-22,144819.33,9276836.64,7040.37,450992.02,80.82,5177.17,64.06
ORD-055,2025-04-25,41803.18,3569573.54,3392.09,289650.57,75.05,6408.52,85.39
ORD-056,2021-06-20,53191.49,3937287.28,2473.59,183097.61,27.97,2070.37,74.02
ORD-057,2018-09-15,73261.11,5265569.02,9997.92,718590.5,69.06,4963.62,71.87
