order_id,order_date,amount_usd,tax_usd,shipping_usd
Ord-001,32/13/2020,$111219.65,"$4,902.62", 13.95 
ord001,10-Aug-2018,"$90,282.91", 9120.75 ,$71.6
ord002,2023/10/30,51004.59, 1427.43 ,95.72
ord003,2024/03/07,"$80,411.03","$14,084.86",37.85
Ord-004,2016-10-11,USD 99172.56, 13800.09 ,98.52
 ORD005 ,05-08-2018,USD 105258.14,USD 12950.81, 7.14 
Ord-006,19-Sep-2023,$32903.26,$1920.59, 76.83 
ord007,05-12-2022, 31854.61 ,USD 2862.51,$88.47
Ord-008,2022/07/22,USD 134668.32,$9681.59,$21.93
ord009,2024/11/18, 89441.18 ,"$6,194.53",$59.59
ord010,24-Aug-2023,112619.21, 15580.62 ,
Ord-011,14-Dec-2018,114282.43,"$10,443.44",USD 10.64
ord012,18-Jan-2022,$137769.95,14852.98,USD 48.86
ord013,2016/12/16,USD 122394.29, 21545.95 ,USD 53.27
Ord-014,29/09/2020,139333.47,18942.07,$68.99
ord015,2018-07-09,USD 50679.74,,$23.01
ord016,08-22-2025,USD 10582.15,$453.35,USD 66.9
 ORD017 ,2018-02-18, 14494.47 ,$1124.61,$42.36
Ord-018,2019-10-21, 37260.88 , 1275.72 ,$44.86
Ord-019,2017-02-05,$97804.34,USD 9516.93, 1.48 
 ORD020 ,28/08/2016, 56814.92 ,"$10,076.44", 26.52 
 ORD021 ,2018-06-10,$86856.0,,$74.80
Ord-022,32/13/2020, 10231.63 ,$125.16,$86.18
 ORD023 ,16-May-2023,84762.3, 4826.92 ,26.08
ord024,2016/02/08,"$93,154.95",9440.22,10.0
ord024,02-22-2020,"$23,619.91","$3,544.74",
 ORD026 ,2023-06-10,$140836.45,USD 3404.36,$11.54
 ORD027 ,32/13/2020,$75786.63, 3425.69 ,$90.82
Ord-028,08/12/2018,$111171.7,USD 11039.63,42.77
ord029,26/10/2020,$6226.42,USD 408.69,$93.31
Ord-030,2025/11/30,USD 146074.25,USD 19706.29,$92.58
 ORD031 ,2024/10/09,120325.38,$18714.39,$81.07
ord032,2018/03/28,USD 52416.25,,87.13
ord033,09-02-2024,"$52,639.48",$4826.67,67.95
 ORD034 ,2016-06-05, 89465.52 ,"$5,566.87",$78.64
ord035,2023/12/13,USD 203.78,$33.95,53.85
Ord-036,2025-07-05, 107949.13 ,5835.51,USD 30.93
 ORD037 ,06/08/2023,$92308.01,USD 5000.42,$54.79
 ORD038 ,2021/03/19,USD 66296.08,2550.16,$47.32
ord039,07-18-2023,USD 33657.33,"$1,206.39",$2.44
Ord-040,15/06/2022,USD 107737.8,$7446.42,$39.97
ord041,21-Dec-2017,$69655.71, 6988.77 ,$91.75
 ORD042 ,14-Nov-2022,USD 63982.45, 10444.1 ,USD 44.59
 ORD043 ,02-Aug-2024,72663.78,3129.21,$43.99
ord044,2018/08/05, 104077.17 , 13233.98 ,USD 6.42
 ORD045 ,19-Aug-2024,"$141,906.61",$498.91,88.07
 ORD046 ,13-Jan-2022,119970.22,$19387.91, 48.82 
 ORD047 ,06-Jun-2017,$80095.25, 13075.32 , 59.19 
 ORD048 ,04-01-2020, 31709.63 , 1865.55 ,$76.12
Ord-049,2022-01-18,$149986.17,USD 9448.06,$65.01
ord049,2017/06/01,100402.3,USD 10192.29,$21.8
ord051,2019-06-28, 86781.64 ,USD 14509.86,
Ord-052,2018-09-21,$104563.81,"$5,676.23",68.43
Ord-053,2020-02-26, 75869.42 ,4660.02, 84.96 
 ORD054 ,22-Dec-2017,"$144,819.33", 7040.37 ,$80.82
ord055,2025-04-25,"$41,803.18", 3392.09 , 75.05 
ord056,20/06/2021,"$53,191.49",2473.59,$27.97
ord057,2018/09/15, 73261.11 ,$9997.92,USD 69.06
ord058,08-Jun-2019,"$55,321.52", 5511.41 ,34.38
Ord-059,02-27-2018,USD 17889.19, 1725.51 ,$76.22
Ord-060,09-10-2022,147075.62,$22042.68,USD 29.62
ord061,03-16-2022, 104597.48 ,$2377.53, 86.85 
 ORD062 ,2018-01-25,$37834.38,$5868.5,$11.41
Ord-063,2019-05-29,"$149,087.41","$3,178.73",$76.44
 ORD064 ,02-May-2019,"$148,504.19",$8163.04,USD 62.1
 ORD065 ,2023-05-29,$23516.42,$735.75,$7.51
Ord-066,2019/03/04,"$10,630.52",USD 446.65,$26.46
ord067,24/12/2018,"$10,665.05", 318.52 ,30.76
 ORD068 ,11-Aug-2021, 74043.97 ,"$1,072.12",$3.99
Ord-069,17-May-2025,88047.8,USD 328.79, 76.48 
ord070,2022/07/25,95199.45,8426.16,USD 9.12
Ord-071,07-22-2021,$99370.66,7162.78,$76.05
 ORD072 ,12-Sep-2025, 123730.33 ,USD 25.64,$86.94
Ord-073,2020-12-15, 30493.91 , 3014.61 ,$92.77
Ord-074,10-10-2017,$82603.39,$8211.21,USD 9.32
Ord-074,10-Apr-2019, 105797.02 ,"$7,912.38",USD 48.25
Ord-076,14/05/2024, 129597.24 ,"$6,444.16",$79.0
 ORD077 ,23-May-2025, 86967.5 ,10330.81,$86.53
 ORD078 ,01/10/2025, 147115.23 ,, 38.3 
Ord-079,19/11/2024,"$74,274.06",$494.93, 50.23 
 ORD080 ,03/03/2016, 61467.29 ,7244.57, 15.44 
 ORD081 ,23-Jul-2025, 56970.41 ,$3247.26,USD 71.87
 ORD082 ,2018-07-20,$65067.42,1152.98,$63.37
ord083,04-16-2019,"$56,194.91",USD 1472.45,$53.12
